url,domain_name,dport,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicious
br-icloud.com.br,br-icloud.com.br,80,False,16,0,0,0,16,0,0,13,-1,2,0,1,0,0,0,0,0,0,0,0,phishing
mp3raid.com/music/krizz_kaliko.html,mp3raid.com,80,False,11,2,0,5,35,0,0,29,-1,2,1,0,0,0,0,0,0,0,0,0,benign
bopsecrets.org/rexroth/cr/1.htm,bopsecrets.org,80,False,14,3,0,7,31,0,0,25,-1,2,1,0,0,0,0,0,0,0,0,0,benign
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,www.garage-pirenne.be,80,False,21,1,1,9,88,1,1,63,2,3,7,1,4,0,0,1,0,0,0,0,defacement
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,adventure-nicaragua.net,80,False,23,1,0,9,235,1,1,199,3,2,22,1,3,0,0,1,0,0,0,0,defacement
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,buzzfil.net,80,False,11,3,0,1,118,1,1,93,3,2,1,16,0,0,0,0,0,0,0,0,benign
espn.go.com/nba/player/_/id/3457/brandon-rush,espn.go.com,80,False,11,6,0,3,45,0,0,31,-1,2,4,1,0,0,0,0,0,0,0,0,benign
yourbittorrent.com/?q=anthony-hamilton-soulife,yourbittorrent.com,80,False,18,1,0,0,46,0,0,40,-1,1,0,2,1,0,0,1,0,1,0,0,benign
http://www.pashminaonline.com/pure-pashminas,www.pashminaonline.com,80,False,22,1,1,14,44,1,1,37,3,2,0,1,0,0,0,0,0,0,0,0,defacement
allmusic.com/album/crazy-from-the-heat-r16990,allmusic.com,80,False,12,2,0,5,45,0,0,33,-1,1,5,4,0,0,0,0,0,0,0,0,benign
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,corporationwiki.com,80,False,19,3,0,4,62,0,0,47,-1,2,7,3,0,0,0,0,0,0,0,0,benign
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,www.ikenmijnkunst.nl,80,False,20,3,1,9,64,1,1,50,2,3,4,1,0,0,0,0,0,0,0,0,defacement
myspace.com/video/vid/30602581,myspace.com,80,False,11,3,0,5,30,0,0,18,-1,1,8,0,0,0,0,0,0,0,0,0,benign
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,www.lebensmittel-ueberwachung.de,80,False,32,2,1,9,61,1,1,50,2,4,1,1,0,0,0,0,0,0,0,0,defacement
